City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description,Rain inches(last 3 hrs),Snow inches(last 3 hrs)
0,Champasak,14.75,106.0,70.92,39,0,3.04,LA,2020-02-23 15:38:15,clear sky,0.0,0.0
1,Tessalit,20.2,1.01,92.82,7,0,9.04,ML,2020-02-23 15:38:15,clear sky,0.0,0.0
2,Saint-Philippe,-21.36,55.77,80.6,69,75,4.7,RE,2020-02-23 15:38:15,broken clouds,0.0,0.0
3,Ushuaia,-54.8,-68.3,50.0,76,75,4.76,AR,2020-02-23 15:36:57,drizzle,0.0,0.0
4,Luderitz,-26.65,15.16,66.22,79,0,22.62,NA,2020-02-23 15:38:16,clear sky,0.0,0.0
5,Biltine,14.53,20.92,93.56,6,0,10.76,TD,2020-02-23 15:38:16,clear sky,0.0,0.0
6,Bethel,41.37,-73.41,48.99,30,1,6.93,US,2020-02-23 15:38:16,clear sky,0.0,0.0
7,Lazaro Cardenas,17.96,-102.2,77.49,65,0,2.15,MX,2020-02-23 15:38:16,clear sky,0.0,0.0
8,Kapaa,22.08,-159.32,66.2,88,1,6.93,US,2020-02-23 15:38:16,clear sky,0.0,0.0
9,Teguise,29.06,-13.56,73.4,49,90,18.34,ES,2020-02-23 15:35:31,haze,0.0,0.0
10,Thompson,55.74,-97.86,5.0,84,40,5.82,CA,2020-02-23 15:38:17,scattered clouds,0.0,0.0
11,Labuan,5.28,115.24,80.6,83,75,11.41,MY,2020-02-23 15:37:19,broken clouds,0.0,0.0
12,Cervo,43.67,-7.41,71.01,1,0,5.01,ES,2020-02-23 15:38:17,clear sky,0.0,0.0
13,Sao Filipe,14.9,-24.5,67.75,82,100,18.9,CV,2020-02-23 15:38:18,overcast clouds,0.0,0.0
14,Banyo,6.75,11.82,96.8,12,0,11.18,CM,2020-02-23 15:38:18,clear sky,0.0,0.0
15,Amapa,1.0,-52.0,80.51,91,100,4.18,BR,2020-02-23 15:38:18,moderate rain,3.06,0.0
16,Dikson,73.51,80.55,28.87,96,100,24.38,RU,2020-02-23 15:38:18,light snow,0.0,0.25
17,Kilindoni,-7.91,39.67,84.87,75,92,18.5,TZ,2020-02-23 15:38:18,overcast clouds,0.0,0.0
18,Zmeinogorsk,51.16,82.19,15.44,95,98,3.22,RU,2020-02-23 15:38:19,light snow,0.0,0.13
19,Nouadhibou,20.93,-17.03,66.2,77,100,12.75,MR,2020-02-23 15:38:19,overcast clouds,0.0,0.0
20,Dalbandin,28.89,64.41,71.2,26,0,6.38,PK,2020-02-23 15:38:19,clear sky,0.0,0.0
21,Iqaluit,63.75,-68.51,-27.0,60,20,18.34,CA,2020-02-23 15:36:49,few clouds,0.0,0.0
22,Salalah,17.02,54.09,77.0,69,0,4.7,OM,2020-02-23 15:36:04,clear sky,0.0,0.0
23,Cavalcante,-13.8,-47.46,78.42,64,87,3.62,BR,2020-02-23 15:38:20,overcast clouds,0.0,0.0
24,Sao Felix Do Xingu,-6.64,-51.99,81.57,92,99,0.94,BR,2020-02-23 15:38:20,moderate rain,5.75,0.0
25,Mar Del Plata,-38.0,-57.56,79.0,60,0,12.75,AR,2020-02-23 15:34:33,clear sky,0.0,0.0
26,Makakilo City,21.35,-158.09,68.0,100,1,1.77,US,2020-02-23 15:34:45,clear sky,0.0,0.0
