City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
0,Champasak,LA,70.92,clear sky,14.75,106.0,
3,Ushuaia,AR,50.0,drizzle,-54.8,-68.3,Albatros Hotel
6,Bethel,US,48.99,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
8,Kapaa,US,66.2,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
9,Teguise,ES,73.4,haze,29.06,-13.56,B&B La Casona de Nazaret
12,Cervo,ES,71.01,clear sky,43.67,-7.41,Hotel Spa Galatea
13,Sao Filipe,CV,67.75,overcast clouds,14.9,-24.5,Tortuga B&B
16,Dikson,RU,28.87,light snow,73.51,80.55,
19,Nouadhibou,MR,66.2,overcast clouds,20.93,-17.03,El Medina
20,Dalbandin,PK,71.2,clear sky,28.89,64.41,Gidaan Guest House
26,Makakilo City,US,68.0,clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
28,Albany,US,44.01,few clouds,42.6,-73.97,
29,Olafsvik,IS,32.07,overcast clouds,64.89,-23.71,Hotel Olafsvik
30,Ust-Tsilma,RU,30.72,overcast clouds,65.44,52.15,U Praskov'i
32,Seoul,KR,33.8,few clouds,37.57,126.98,Lotte Hotel Seoul
33,Shingu,JP,47.34,clear sky,33.73,135.98,新宮ユーアイホテル
34,Punta Arenas,CL,53.6,light intensity shower rain,-53.15,-70.92,Hotel Dreams Del Estrecho
38,Hilo,US,68.0,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
40,Catalina,US,53.01,clear sky,32.51,-110.92,Miraval Arizona Resort & Spa
41,Port Alfred,ZA,69.01,scattered clouds,-33.59,26.89,The Halyards Hotel
42,Dongsheng,CN,34.56,broken clouds,39.82,109.98,Crowne Plaza Ordos
43,Jamestown,US,43.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
47,Hauterive,FR,69.8,broken clouds,46.09,3.45,Aletti Palace Hotel
48,New Norfolk,AU,57.0,overcast clouds,-42.78,147.06,The Shingles Riverside Cottages
51,San Patricio,MX,73.4,few clouds,19.22,-104.7,Hotel Cabo Blanco
52,Bluff,NZ,55.0,broken clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
53,Kushiro,JP,29.57,clear sky,42.98,144.37,東横INN釧路十字街
55,Lasa,IT,59.0,scattered clouds,46.62,10.7,Pension Feldgärtenhof
57,Bredasdorp,ZA,73.99,clear sky,-34.53,20.04,Bredasdorp Country Manor
60,Havre-Saint-Pierre,CA,32.0,scattered clouds,50.23,-63.6,Auberge Niapiskau
61,Busselton,AU,70.0,light rain,-33.65,115.33,Observatory Guest House
63,Tazovskiy,RU,28.94,overcast clouds,67.47,78.7,TazHostel
65,Flinders,AU,70.0,overcast clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
66,Ponta Do Sol,PT,69.8,few clouds,32.67,-17.1,Hotel do Campo
68,Mataura,NZ,55.0,overcast clouds,-46.19,168.86,Ellie's Villa
82,Lazi,UA,34.39,light rain,48.07,24.23,Olenka
84,Port Augusta,AU,75.0,overcast clouds,-32.5,137.77,Majestic Oasis Apartments
86,Sitka,US,35.6,moderate rain,57.05,-135.33,Westmark Sitka
87,Manica,FR,55.4,overcast clouds,49.0,-1.17,Gite Lily
90,Gat,IL,60.8,few clouds,31.61,34.76,OlusHome
91,Urcos,PE,60.8,broken clouds,-13.69,-71.62,Qali Samanawasi
92,Lebu,CL,68.83,clear sky,-37.62,-73.65,Hostal Las Lilas
94,Bad Aibling,DE,61.0,overcast clouds,47.86,12.01,Lindners Hotels & Restaurants
95,Lincoln,US,42.01,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
99,Pecos,US,48.99,overcast clouds,31.42,-103.49,Knights Inn Pecos
100,Cockburn Town,TC,74.26,light rain,21.46,-71.14,Osprey Beach Hotel
101,Hasaki,JP,43.0,few clouds,35.73,140.83,Inubosaki Kanko Hotel
111,Irbil,IQ,62.6,few clouds,36.19,44.01,Erbil International Hotel
113,Pyaozerskiy,RU,32.9,overcast clouds,65.83,31.17,
114,Cody,US,28.4,clear sky,44.53,-109.06,Buffalo Bill (Cabins) Village
115,Bermeo,ES,70.0,clear sky,43.42,-2.72,Eco-Hotel Mundaka
