City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Albany,US,2020-02-22 18:45:32,42.6,-73.97,43.0,32,20,13.87
1,Rikitea,PF,2020-02-22 18:49:29,-23.12,-134.97,77.94,72,10,5.06
2,Castro,BR,2020-02-22 18:50:00,-24.79,-50.01,71.71,79,92,3.91
3,Pangnirtung,CA,2020-02-22 18:49:48,66.15,-65.71,-31.0,59,20,2.24
4,Hithadhoo,MV,2020-02-22 18:49:41,-0.6,73.08,82.02,80,100,12.08
5,Flin Flon,CA,2020-02-22 18:53:07,54.77,-101.86,35.6,51,40,13.87
6,Taoudenni,ML,2020-02-22 18:50:30,22.68,-3.98,86.85,7,61,6.38
7,Bundi,IN,2020-02-22 18:56:38,25.44,75.64,64.8,52,0,4.74
8,Avarua,CK,2020-02-22 18:45:18,-21.21,-159.78,82.4,88,93,8.05
9,Vestmannaeyjar,IS,2020-02-22 18:50:36,63.44,-20.27,33.8,59,40,9.17
10,Luanda,AO,2020-02-22 18:51:29,-8.84,13.23,82.4,83,75,15.97
11,Chokurdakh,RU,2020-02-22 18:50:57,70.63,147.92,-16.51,97,100,1.14
12,Roding,DE,2020-02-22 18:56:40,49.2,12.52,51.8,37,75,6.93
13,Fort Nelson,CA,2020-02-22 18:49:50,58.81,-122.7,30.2,46,20,13.87
14,Tasiilaq,GL,2020-02-22 18:46:23,65.61,-37.64,6.71,61,0,7.76
15,Imeni Babushkina,RU,2020-02-22 18:56:40,59.76,43.13,33.42,82,100,16.28
16,Pacific Grove,US,2020-02-22 18:52:41,36.62,-121.92,62.01,82,90,6.93
17,Tommot,RU,2020-02-22 18:50:29,58.96,126.29,15.1,95,100,6.98
18,Correntina,BR,2020-02-22 18:53:03,-13.34,-44.64,83.55,68,65,4.43
19,Port Alfred,ZA,2020-02-22 18:49:37,-33.59,26.89,66.99,96,31,3.0
20,Punta Arenas,CL,2020-02-22 18:49:31,-53.15,-70.92,73.4,43,100,14.99
21,Kavieng,PG,2020-02-22 18:47:00,-2.57,150.8,83.25,74,22,5.75
22,Cidreira,BR,2020-02-22 18:49:39,-30.18,-50.21,68.95,72,19,19.46
23,Port Blair,IN,2020-02-22 18:50:07,11.67,92.75,81.27,76,31,12.55
24,Santa Cruz De La Palma,ES,2020-02-22 18:56:42,28.68,-17.76,68.0,64,20,10.29
25,Roma,US,2020-02-22 18:46:18,43.21,-75.46,39.0,51,40,13.87
26,Atuona,PF,2020-02-22 18:49:31,-9.8,-139.03,81.64,79,36,13.69
27,Karasjok,NO,2020-02-22 18:56:43,69.47,25.51,35.6,64,54,48.32
28,Qaanaaq,GL,2020-02-22 18:46:15,77.48,-69.36,-14.96,64,100,4.36
29,Mayahi,NE,2020-02-22 18:56:43,13.96,7.67,82.76,10,22,12.64
30,Saint-Georges,GD,2020-02-22 18:56:43,12.06,-61.75,84.2,66,75,16.11
31,Anqing,CN,2020-02-22 18:56:44,30.51,117.05,49.96,63,19,4.21
32,Hilo,US,2020-02-22 18:47:01,19.73,-155.09,71.6,73,1,5.82
33,Souillac,MU,2020-02-22 18:50:57,-20.52,57.52,78.8,83,40,7.47
34,Burnie,AU,2020-02-22 18:50:01,-41.07,145.92,55.0,95,74,5.01
35,Hobart,AU,2020-02-22 18:45:59,-42.88,147.33,51.8,87,37,6.93
36,Astoria,US,2020-02-22 18:55:16,46.19,-123.83,48.0,93,90,6.93
37,Kapaa,US,2020-02-22 18:49:28,22.08,-159.32,73.4,78,75,11.41
38,Batagay,RU,2020-02-22 18:56:45,67.63,134.63,-8.66,99,94,0.92
39,Pitimbu,BR,2020-02-22 18:54:05,-7.47,-34.81,87.8,70,40,11.41
40,Arraial Do Cabo,BR,2020-02-22 18:46:05,-22.97,-42.03,78.8,74,75,8.05
41,Mataura,NZ,2020-02-22 18:49:26,-46.19,168.86,51.01,77,39,5.99
42,Kawanoe,JP,2020-02-22 18:55:31,34.02,133.57,45.66,63,17,23.6
43,Saint Anthony,US,2020-02-22 18:50:03,45.02,-93.22,41.0,60,1,9.17
44,Klaksvik,FO,2020-02-22 18:50:12,62.23,-6.59,35.6,74,83,11.41
45,Sorland,NO,2020-02-22 18:51:22,67.67,12.69,41.56,77,100,18.32
46,Kyzyl-Suu,KG,2020-02-22 18:56:46,42.34,78.0,30.06,60,42,6.35
47,Nikolskoye,RU,2020-02-22 18:49:49,59.7,30.79,36.0,92,90,13.42
48,Bethel,US,2020-02-22 18:50:08,41.37,-73.41,48.0,24,1,11.41
49,Khatanga,RU,2020-02-22 18:49:42,71.97,102.5,2.52,82,98,13.51
50,Rebrikha,RU,2020-02-22 18:56:47,53.07,82.34,17.76,96,100,5.73
51,Ushuaia,AR,2020-02-22 18:46:14,-54.8,-68.3,64.4,59,40,3.36
52,Hvolsvollur,IS,2020-02-22 18:49:32,63.75,-20.22,33.8,59,40,9.17
53,Mar Del Plata,AR,2020-02-22 18:49:08,-38.0,-57.56,68.0,63,20,10.29
54,Adelanto,US,2020-02-22 18:56:48,34.58,-117.41,62.01,58,75,11.41
55,Chuy,UY,2020-02-22 18:49:50,-33.7,-53.46,69.78,54,85,10.07
56,Thompson,CA,2020-02-22 18:50:32,55.74,-97.86,17.6,61,20,4.7
57,East London,ZA,2020-02-22 18:49:55,-33.02,27.91,69.8,77,20,17.22
58,Vila Franca Do Campo,PT,2020-02-22 18:50:12,37.72,-25.43,59.0,72,20,9.17
59,Upernavik,GL,2020-02-22 18:49:41,72.79,-56.15,-17.97,97,22,0.36
60,Carnarvon,AU,2020-02-22 18:45:49,-24.87,113.63,75.2,88,40,6.93
61,Lebu,CL,2020-02-22 18:49:45,-37.62,-73.65,69.22,57,3,6.13
62,Bilibino,RU,2020-02-22 18:52:48,68.05,166.44,-21.21,98,100,2.77
63,Tuktoyaktuk,CA,2020-02-22 18:49:47,69.45,-133.04,5.0,84,90,6.93
64,Constitucion,CL,2020-02-22 18:49:54,-35.33,-72.42,65.26,64,12,8.59
65,Lorengau,PG,2020-02-22 18:51:19,-2.02,147.27,82.36,74,1,7.67
66,Huarmey,PE,2020-02-22 18:54:57,-10.07,-78.15,85.55,42,100,11.77
67,Tazmalt,DZ,2020-02-22 18:55:10,36.39,4.4,53.6,81,20,5.82
68,Bluff,NZ,2020-02-22 18:49:28,-46.6,168.33,51.01,77,67,5.99
69,Cape Town,ZA,2020-02-22 18:45:50,-33.93,18.42,66.99,82,20,16.11
70,Vladeni,RO,2020-02-22 18:56:51,47.72,26.52,36.0,75,0,9.17
71,New Norfolk,AU,2020-02-22 18:46:17,-42.78,147.06,51.8,87,0,6.93
72,Bredasdorp,ZA,2020-02-22 18:49:37,-34.53,20.04,66.2,72,100,9.17
73,Westport,US,2020-02-22 18:50:04,41.14,-73.36,48.0,41,1,19.46
74,Kaitangata,NZ,2020-02-22 18:49:56,-46.28,169.85,50.0,73,59,4.0
75,Makakilo City,US,2020-02-22 18:47:30,21.35,-158.09,75.0,100,75,7.72
76,Moroto,UG,2020-02-22 18:55:05,2.53,34.67,81.21,43,10,23.17
77,Puerto Ayora,EC,2020-02-22 18:49:35,-0.74,-90.35,82.4,78,75,9.17
78,Hermanus,ZA,2020-02-22 18:49:57,-34.42,19.23,64.99,99,100,1.01
79,Geraldton,AU,2020-02-22 18:49:59,-28.77,114.6,71.6,88,2,8.05
80,Labuhan,ID,2020-02-22 18:54:52,-6.88,112.21,75.31,92,78,2.26
81,Sakakah,SA,2020-02-22 18:54:03,29.97,40.21,57.2,41,0,4.7
82,Itoman,JP,2020-02-22 18:47:13,26.12,127.67,64.4,68,40,16.11
83,Severo-Kurilsk,RU,2020-02-22 18:48:41,50.68,156.12,11.95,89,84,5.32
84,Huari,PE,2020-02-22 18:56:53,-9.33,-77.23,56.75,46,100,8.93
85,Coruripe,BR,2020-02-22 18:56:54,-10.13,-36.18,84.15,69,1,12.95
86,Vaini,TO,2020-02-22 18:49:27,-21.2,-175.2,77.0,100,75,5.82
87,Shelburne,CA,2020-02-22 18:56:33,44.08,-80.2,37.0,55,20,12.75
88,Muros,ES,2020-02-22 18:52:48,42.78,-9.06,57.99,71,0,5.82
89,Grand Gaube,MU,2020-02-22 18:56:54,-20.01,57.66,78.8,83,40,6.13
90,Bolshoy Lug,RU,2020-02-22 18:56:54,52.08,104.09,17.6,92,90,4.47
91,Auki,SB,2020-02-22 18:50:11,-8.77,160.7,82.69,77,20,3.56
92,Lompoc,US,2020-02-22 18:46:16,34.64,-120.46,64.0,58,90,2.39
93,Tiksi,RU,2020-02-22 18:50:06,71.69,128.87,-10.79,91,92,9.78
94,Pisco,PE,2020-02-22 18:46:06,-13.7,-76.22,79.0,30,40,8.05
95,Tarbagatay,RU,2020-02-22 18:56:55,51.48,107.36,-0.4,77,96,2.24
96,Buala,SB,2020-02-22 18:51:31,-8.14,159.59,78.84,84,20,4.16
97,Rocky Mountain House,CA,2020-02-22 18:56:56,52.37,-114.92,30.15,83,100,7.52
98,Mahebourg,MU,2020-02-22 18:50:08,-20.41,57.7,78.8,83,40,7.47
99,Agadir,MA,2020-02-22 18:44:55,30.42,-9.6,82.4,9,0,5.82
100,Hambantota,LK,2020-02-22 18:52:38,6.12,81.12,77.0,100,20,9.17
101,Khanpur,PK,2020-02-22 18:56:56,28.65,70.66,68.22,42,0,6.02
102,Zeya,RU,2020-02-22 18:52:05,53.75,127.27,-9.67,99,76,0.78
